"ID_PARADA","NOMBRE_PARADA_GEOCERCA","Gabriel y Galán 1_bajada","Gabriel y Galán 2_bajada","Dolores Ibárruri_bajada","Cámara de Comercio_bajada","Edificio Múltiples_bajada","Policía Local_bajada","Pl. del Olivar-Multicines_bajada","Centro Cívico La Data_bajada","Guardería La Data_bajada","Colegio La Paz_bajada","Pablo Iglesias_bajada","Colegio Josefinas_bajada","IES Pérez Comendador_bajada","Los Alamitos _bajada","IES Gabriel y Galán_bajada","Parque Coronación_bajada","Universidad_bajada","Ambulatorio Luis de Toro_bajada","Cristo de las Batallas_bajada","Correos_bajada","Catedral_bajada","Puente Trujillo_bajada","C. salud San Miguel_bajada","Avda. de España_bajada","Av. España-Cementerio_bajada","Colonia Guadalupe_bajada","Glorieta Cigüeñas_bajada","Martín Palomino 1_bajada","Martín Palomino 2_bajada","Martín Palomino 3_bajada","ITV_bajada","Bomberos_bajada","Sociosanitario"
91,"Pablo Iglesias_bajada",-11,-11,-9,-7,-6,-4,-3,-3,-2,-1,0,1,3,4,5,6,7,8,9,10,11,12,14,14,15,16,17,17,18,19,21,21,21
39,"Colegio Josefinas_bajada",-12,-12,-10,-8,-7,-5,-4,-4,-3,-2,-1,0,2,2,3,5,6,7,8,9,10,11,12,13,14,15,15,16,17,18,19,20,20
71,"IES Pérez Comendador_bajada",-14,-14,-12,-10,-9,-7,-6,-6,-5,-4,-3,-2,0,1,1,3,4,5,6,7,8,9,10,11,12,13,13,14,15,16,17,18,18
78,"Los Alamitos _bajada",-15,-15,-13,-11,-10,-8,-7,-6,-6,-5,-4,-3,-1,0,1,2,3,4,5,7,7,9,10,10,11,12,13,14,14,15,17,17,18
67,"IES Gabriel y Galán_bajada",-16,-16,-14,-12,-11,-8,-8,-7,-6,-6,-5,-4,-2,-1,0,1,2,3,4,6,7,8,9,9,10,11,12,13,13,14,16,16,17
95,"Parque Coronación_bajada",-17,-17,-15,-13,-12,-10,-9,-9,-8,-7,-6,-5,-3,-2,-1,0,1,2,3,4,5,6,8,8,9,10,11,12,12,13,15,15,15
116,"Universidad_bajada",-18,-18,-16,-14,-13,-11,-10,-10,-9,-8,-7,-6,-4,-4,-3,-1,0,1,2,3,4,5,6,7,8,9,9,10,11,12,13,14,14
1,"Ambulatorio Luis de Toro_bajada",-19,-19,-17,-15,-14,-12,-11,-11,-10,-9,-8,-7,-5,-4,-4,-2,-1,0,1,2,3,4,5,6,7,8,8,9,10,11,13,13,13
47,"Cristo de las Batallas_bajada",-20,-20,-18,-16,-15,-13,-12,-12,-11,-10,-9,-8,-6,-6,-5,-3,-2,-1,0,1,2,3,4,5,6,7,7,8,9,10,11,12,12
45,"Correos_bajada",-22,-21,-19,-18,-17,-14,-14,-13,-12,-12,-11,-9,-7,-7,-6,-5,-3,-3,-1,0,1,2,3,4,4,5,6,7,7,8,10,10,11
24,"Catedral_bajada",-23,-22,-20,-18,-17,-15,-14,-14,-13,-12,-11,-10,-8,-8,-7,-6,-4,-3,-2,-1,0,1,2,3,3,4,5,6,7,7,9,10,10
108,"Puente Trujillo_bajada",-24,-23,-22,-20,-19,-16,-16,-15,-14,-14,-13,-12,-10,-9,-8,-7,-6,-5,-4,-2,-1,0,1,1,2,3,4,5,5,6,8,8,9
16,"C. salud San Miguel_bajada",-25,-25,-23,-21,-20,-17,-17,-16,-15,-15,-14,-13,-11,-10,-9,-8,-7,-6,-5,-3,-2,-1,0,1,1,2,3,4,4,5,7,7,8
5,"Avda. de España_bajada",-25,-25,-23,-21,-20,-18,-17,-17,-16,-15,-14,-13,-11,-11,-10,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,2,3,4,5,6,7,7
3,"Av. España-Cementerio_bajada",-26,-26,-24,-22,-21,-19,-18,-18,-17,-16,-15,-14,-12,-11,-10,-9,-8,-7,-6,-5,-4,-2,-1,-1,0,1,2,3,3,4,6,6,6
44,"Colonia Guadalupe_bajada",-27,-27,-25,-23,-22,-20,-19,-18,-18,-17,-16,-15,-13,-12,-11,-10,-9,-8,-7,-5,-5,-3,-2,-2,-1,0,1,2,2,3,5,5,6
61,"Glorieta Cigüeñas_bajada",-28,-28,-26,-24,-23,-20,-20,-19,-18,-18,-17,-16,-14,-13,-12,-11,-10,-9,-8,-6,-5,-4,-3,-3,-2,-1,0,1,1,2,4,4,5
85,"Martín Palomino 1_bajada",-29,-28,-27,-25,-24,-21,-21,-20,-19,-19,-18,-17,-15,-14,-13,-12,-11,-10,-9,-7,-6,-5,-4,-4,-3,-2,-1,0,1,1,3,3,4
87,"Martín Palomino 2_bajada",-29,-29,-27,-25,-24,-22,-21,-21,-20,-19,-18,-17,-15,-15,-14,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-2,-1,0,1,3,3,3
89,"Martín Palomino 3_bajada",-30,-30,-28,-26,-25,-23,-22,-22,-21,-20,-19,-18,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-5,-5,-4,-3,-2,-1,-1,0,2,2,2
76,"ITV_bajada",-32,-32,-30,-28,-27,-25,-24,-23,-23,-22,-21,-20,-18,-17,-16,-15,-14,-13,-12,-10,-10,-8,-7,-7,-6,-5,-4,-3,-3,-2,0,1,1
15,"Bomberos_bajada",-32,-32,-30,-28,-27,-25,-24,-24,-23,-22,-21,-20,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-7,-7,-6,-5,-4,-4,-3,-2,0,0,1
115,"Sociosanitario",-33,-32,-30,-29,-28,-25,-25,-24,-23,-23,-22,-20,-18,-18,-17,-16,-14,-14,-12,-11,-10,-9,-8,-7,-7,-6,-5,-4,-4,-3,-1,-1,0
